data_com,valor_div
2010-04-22,0.2533
2010-05-21,0.2
2010-07-30,0.2
2010-11-01,0.14
2010-12-21,0.2
2011-03-21,0.15272
2011-04-28,0.1242
2011-05-11,0.2
2011-08-02,0.2
2011-11-11,0.2
2012-01-02,0.2
2012-03-19,0.12267
2012-05-11,0.2
2013-04-29,0.78297
2014-04-02,0.99757
2018-05-21,0.05
2018-08-13,0.05
2018-11-21,0.1
2018-12-21,0.7
2019-04-25,0.019494
2019-05-21,0.1
2019-08-12,0.2
2019-11-11,0.2
2019-12-26,0.42
2020-07-22,0.000461
2021-04-14,0.792834
2021-08-16,1.609911
2021-12-01,3.250487
2022-04-13,2.9702487
2022-05-23,3.71549
2022-08-11,6.732003
2022-11-21,3.3489
