datneg,preult_tr
2011-01-04,100.0
2011-01-05,99.7
2011-01-06,99.7
2011-01-07,99.5
2011-01-10,95.5
2011-01-11,99.0
2011-01-12,98.0
2011-01-13,97.0
2011-01-14,99.8
2011-01-17,96.8
2011-01-19,99.0
2011-01-20,99.0
2011-01-21,98.1
2011-01-24,97.8
2011-01-26,97.5
2011-01-27,97.0
2011-01-28,96.6
2011-01-31,96.99
2011-02-01,97.66499999999999
2011-02-02,99.68898855552118
2011-02-03,99.18550881534178
2011-02-04,100.49455613980821
2011-02-07,97.67506959480357
2011-02-08,97.17158985462417
2011-02-09,97.67506959480357
2011-02-10,97.67506959480357
2011-02-11,97.37298175069594
2011-02-14,97.67506959480357
2011-02-15,99.18550881534178
2011-02-16,100.69594803587998
2011-02-17,100.69594803587998
2011-02-18,100.19246829570058
2011-02-21,100.5952520878441
2011-02-22,100.99803587998761
2011-02-23,101.70290751623878
2011-02-24,101.19942777605938
2011-02-25,101.50151562016701
2011-02-28,103.21334673677698
2011-03-01,106.43561707392513
2011-03-02,106.43561707392513
2011-03-03,107.14518785441797
2011-03-04,110.4903072481699
2011-03-09,109.9834709763893
2011-03-10,109.57800195896482
2011-03-11,108.96979843282811
2011-03-14,110.4903072481699
2011-03-15,110.97687006907928
2011-03-16,110.9971435199505
2011-03-17,110.03415460356736
2011-03-18,109.07116568718422
2011-03-21,111.5039797917311
2011-03-22,113.52118815341785
2011-03-23,113.42995762449736
2011-03-24,113.42995762449736
2011-03-25,113.83542664192183
2011-03-28,114.03816115063407
2011-03-29,110.9971435199505
2011-03-30,116.47097525518093
2011-03-31,111.5039797917311
2011-04-01,112.21355057222392
2011-04-04,112.21355057222392
2011-04-05,109.35720564856732
2011-04-06,112.1115382535219
2011-04-07,113.13166144054212
2011-04-08,112.21355057222392
2011-04-12,116.29404332030478
2011-04-13,115.27392013328456
2011-04-14,115.37593245198659
2011-04-15,117.314166507325
2011-04-18,119.15038824396139
2011-04-19,121.90472084891599
2011-04-20,122.26176396437305
2011-04-25,122.41478244242609
2011-04-26,120.37453606838565
2011-04-27,120.88459766189577
2011-04-28,122.31277012372408
2011-04-29,121.90472084891599
2011-05-02,123.12886867334025
2011-05-03,123.02626128277913
2011-05-04,122.61583172053466
2011-05-05,123.02626128277913
2011-05-06,122.8210465016569
2011-05-09,122.8210465016569
2011-05-10,122.8210465016569
2011-05-11,122.61583172053466
2011-05-12,122.15409846300963
2011-05-13,119.02457305089557
2011-05-16,128.15663081083497
2011-05-17,128.15663081083497
2011-05-18,128.05402342027386
2011-05-19,122.10279476772908
2011-05-20,127.23316429578492
2011-05-23,123.12886867334025
2011-05-24,123.64190562614583
2011-05-25,124.97580170344035
2011-05-26,125.18101648456259
2011-05-27,123.2519975420136
2011-05-30,123.12886867334025
2011-05-31,123.12886867334025
2011-06-01,123.33408345446247
2011-06-02,125.90397356158893
2011-06-03,123.43729189249969
2011-06-06,123.44761273630341
2011-06-07,123.33408345446247
2011-06-08,123.43729189249969
2011-06-09,123.33408345446247
2011-06-10,123.33408345446247
2011-06-13,123.44761273630341
2011-06-14,122.82836210808017
2011-06-15,122.81804126427645
2011-06-16,120.7538725035323
2011-06-17,118.58649530475095
2011-06-20,122.70451198243552
2011-06-21,118.68970374278815
2011-06-22,121.16670625568113
2011-06-24,120.6506640654951
2011-06-27,118.99932905689978
2011-06-28,118.79291218082535
2011-06-29,118.79291218082535
2011-06-30,117.96724467652771
2011-07-01,118.89612061886257
2011-07-04,119.63338040610617
2011-07-05,119.51915705878673
2011-07-06,120.45371171867299
2011-07-07,119.20763883882465
2011-07-08,120.86906934528912
2011-07-11,118.99996002551659
2011-07-12,118.37692358559242
2011-07-13,118.89612061886257
2011-07-14,124.08809095156398
2011-07-15,125.64568205137442
2011-07-18,128.96854306430333
2011-07-19,127.72247018445499
2011-07-20,127.72247018445499
2011-07-21,127.72247018445499
2011-07-22,128.24166721772514
2011-07-25,130.73381297742182
2011-07-26,130.83765238407585
2011-07-27,134.99122865023696
2011-07-28,134.99122865023696
2011-07-29,127.61863077780096
2011-08-01,131.56452823065405
2011-08-02,132.60869115311954
2011-08-03,130.52036530818853
2011-08-04,129.9982838469558
2011-08-05,135.01026587479024
2011-08-08,129.9982838469558
2011-08-09,130.52036530818853
2011-08-10,132.60869115311954
2011-08-11,132.9219400298592
2011-08-12,131.14686306166783
2011-08-15,134.04963598612196
2011-08-16,131.72115266902387
2011-08-17,132.60869115311954
2011-08-18,132.504274860873
2011-08-19,131.56452823065405
2011-08-22,133.1307726143523
2011-08-23,133.65285407558505
2011-08-24,133.65285407558505
2011-08-25,133.5484377833385
2011-08-26,133.23518890659884
2011-08-29,133.65285407558505
2011-08-30,133.65285407558505
2011-08-31,132.9219400298592
2011-09-01,133.3396051988454
2011-09-02,134.23203562734162
2011-09-05,134.3895233500174
2011-09-06,133.86456427443142
2011-09-08,134.07454790466582
2011-09-09,134.28453153490022
2011-09-12,134.28453153490022
2011-09-13,134.179539719783
2011-09-14,134.179539719783
2011-09-15,134.34752662397054
2011-09-16,133.86456427443142
2011-09-19,132.8146461232594
2011-09-20,133.8120683668728
2011-09-21,133.2346133837282
2011-09-22,132.8146461232594
2011-09-23,133.8120683668728
2011-09-26,131.9747116023218
2011-09-27,133.3396051988454
2011-09-28,131.55474434185297
2011-09-29,131.76472797208737
2011-09-30,132.7096543081422
2011-10-03,129.87487529997776
2011-10-04,131.98666189022128
2011-10-05,131.35312591314823
2011-10-06,131.98666189022128
2011-10-07,131.98666189022128
2011-10-10,130.40282194753863
