data,imab5
16-09-2004,943874329
17-09-2004,944380704
20-09-2004,945005392
21-09-2004,945600171
22-09-2004,946206092
23-09-2004,946575553
24-09-2004,947124577
27-09-2004,947667201
28-09-2004,948218852
29-09-2004,948764029
30-09-2004,949270581
01-10-2004,949863960
04-10-2004,950416101
05-10-2004,950943683
06-10-2004,951539834
07-10-2004,952078149
08-10-2004,952610884
11-10-2004,951613022
13-10-2004,951696732
14-10-2004,952203535
15-10-2004,952882281
18-10-2004,953319125
19-10-2004,953941136
20-10-2004,954621265
21-10-2004,955167489
22-10-2004,955716920
25-10-2004,956164229
26-10-2004,956689067
27-10-2004,957201642
28-10-2004,957734905
29-10-2004,958277826
01-11-2004,958806673
03-11-2004,959354568
04-11-2004,959870635
05-11-2004,960390288
08-11-2004,960887052
09-11-2004,961412184
10-11-2004,961934452
11-11-2004,962526288
12-11-2004,962857095
16-11-2004,963410757
17-11-2004,964099704
18-11-2004,964663463
19-11-2004,965343518
22-11-2004,965243528
23-11-2004,965736157
24-11-2004,966455920
25-11-2004,967216305
26-11-2004,967836590
29-11-2004,968486335
30-11-2004,969149266
01-12-2004,969075415
02-12-2004,970059164
03-12-2004,970755145
06-12-2004,971342086
07-12-2004,972152922
08-12-2004,972631298
09-12-2004,973417261
10-12-2004,974107331
13-12-2004,974762370
14-12-2004,975431240
15-12-2004,976099254
16-12-2004,976603728
17-12-2004,977110830
20-12-2004,977756416
21-12-2004,978286366
22-12-2004,979074318
23-12-2004,979753710
24-12-2004,980398419
27-12-2004,980914354
28-12-2004,981629505
29-12-2004,982063955
30-12-2004,982690188
31-12-2004,983337347
03-01-2005,984068269
04-01-2005,984423261
05-01-2005,985023380
06-01-2005,985216580
07-01-2005,985258129
10-01-2005,985675702
11-01-2005,986255665
12-01-2005,986760014
13-01-2005,987493798
14-01-2005,989169726
17-01-2005,989904357
18-01-2005,990576313
19-01-2005,991254916
20-01-2005,991844025
21-01-2005,992598911
24-01-2005,993254493
25-01-2005,994046494
26-01-2005,994717403
27-01-2005,995143385
28-01-2005,995790340
31-01-2005,995946755
01-02-2005,996706298
02-02-2005,993464559
03-02-2005,994524714
04-02-2005,994291064
09-02-2005,994960243
10-02-2005,995527670
11-02-2005,992640118
14-02-2005,988448428
15-02-2005,989212566
16-02-2005,989127926
17-02-2005,989600033
18-02-2005,989761718
21-02-2005,989145570
22-02-2005,990020328
23-02-2005,989534696
24-02-2005,989717708
25-02-2005,989651990
28-02-2005,989866432
01-03-2005,990188765
02-03-2005,990332740
03-03-2005,990924648
04-03-2005,991593077
07-03-2005,992223271
08-03-2005,992413920
09-03-2005,992561911
10-03-2005,993208258
11-03-2005,993066930
14-03-2005,993123627
15-03-2005,993607434
16-03-2005,994227696
17-03-2005,994867947
18-03-2005,995590469
21-03-2005,995742505
22-03-2005,996251505
23-03-2005,996916069
24-03-2005,997672768
28-03-2005,998132024
29-03-2005,998717271
30-03-2005,999687568
31-03-2005,1.000000000
01-04-2005,1.000677130
04-04-2005,1.001148943
05-04-2005,1.001492908
06-04-2005,1.002291483
07-04-2005,1.002853534
08-04-2005,1.003333561
11-04-2005,1.004024159
12-04-2005,1.004608399
13-04-2005,1.005263228
14-04-2005,1.005977060
15-04-2005,1.006415008
18-04-2005,1.007142233
19-04-2005,1.007786355
20-04-2005,1.008430605
22-04-2005,1.009269229
25-04-2005,1.009953706
26-04-2005,1.010486542
27-04-2005,1.011151557
28-04-2005,1.012535414
29-04-2005,1.013316150
02-05-2005,1.014230546
03-05-2005,1.014913261
04-05-2005,1.015619760
05-05-2005,1.016326221
06-05-2005,1.017188404
09-05-2005,1.017971852
10-05-2005,1.018734204
11-05-2005,1.019934223
12-05-2005,1.020117007
13-05-2005,1.020699829
16-05-2005,1.021213442
17-05-2005,1.021922451
18-05-2005,1.022321793
19-05-2005,1.022937081
20-05-2005,1.023572165
23-05-2005,1.023927833
24-05-2005,1.024460753
25-05-2005,1.025130495
27-05-2005,1.025684623
30-05-2005,1.026150641
31-05-2005,1.026798062
01-06-2005,1.026655578
02-06-2005,1.027244946
03-06-2005,1.028005005
06-06-2005,1.023792194
07-06-2005,1.024344406
08-06-2005,1.024893285
09-06-2005,1.025371184
10-06-2005,1.025404210
13-06-2005,1.025342597
14-06-2005,1.025708613
15-06-2005,1.028238032
16-06-2005,1.028601032
17-06-2005,1.029091060
20-06-2005,1.027978334
21-06-2005,1.028567624
22-06-2005,1.028783608
23-06-2005,1.028883482
24-06-2005,1.028417869
27-06-2005,1.028722084
28-06-2005,1.029172728
29-06-2005,1.029614700
30-06-2005,1.029683667
01-07-2005,1.029793731
04-07-2005,1.026986939
05-07-2005,1.027871987
06-07-2005,1.026589269
